Date,Open,High,Low,Close,Volume
20-Jan-10,292.70,292.70,287.36,289.91,-
19-Jan-10,290.45,294.91,287.86,293.52,-
15-Jan-10,295.50,296.48,288.73,289.71,-
14-Jan-10,291.66,296.80,291.11,294.63,-
13-Jan-10,287.96,293.90,286.66,293.25,-
12-Jan-10,298.74,298.78,293.71,294.94,-
11-Jan-10,301.93,301.93,296.72,300.25,-
8-Jan-10,295.70,301.32,294.26,300.71,-
7-Jan-10,304.40,304.70,296.03,296.75,-
6-Jan-10,312.62,312.62,302.88,303.83,-
5-Jan-10,313.28,313.61,310.46,311.68,-
4-Jan-10,313.16,314.44,311.81,313.06,-
31-Dec-09,312.06,312.39,309.68,309.68,-
30-Dec-09,308.94,311.05,308.70,311.05,-
29-Dec-09,312.06,312.11,308.84,309.39,-
28-Dec-09,310.52,312.68,308.93,311.12,-
24-Dec-09,306.16,309.45,305.83,308.93,-
23-Dec-09,301.45,306.13,301.12,305.53,-
22-Dec-09,300.37,300.45,299.13,300.26,-
21-Dec-09,298.68,299.62,297.54,299.04,-
18-Dec-09,297.72,299.17,297.20,297.91,-
17-Dec-09,297.92,298.52,296.58,296.67,-
16-Dec-09,299.16,299.88,298.02,298.58,-
15-Dec-09,296.35,297.89,295.20,296.27,-
14-Dec-09,297.32,298.36,296.01,297.57,-
11-Dec-09,297.04,297.08,293.57,294.96,-
10-Dec-09,294.92,297.06,294.91,295.45,-
9-Dec-09,293.46,294.37,291.50,294.22,-
8-Dec-09,291.46,295.03,290.71,293.23,-
7-Dec-09,291.82,294.05,290.21,292.83,-
4-Dec-09,296.21,297.12,289.30,292.21,-
3-Dec-09,294.23,295.43,292.21,292.58,-
2-Dec-09,295.19,296.21,292.82,293.46,-
1-Dec-09,293.77,295.31,291.21,294.64,-
30-Nov-09,290.02,291.54,288.27,291.21,-
27-Nov-09,285.71,290.94,285.20,289.59,-
25-Nov-09,292.91,293.24,291.05,292.58,-
24-Nov-09,290.96,291.85,287.98,291.25,-
23-Nov-09,287.96,293.01,287.64,290.88,-
20-Nov-09,284.46,285.51,284.42,284.70,-
19-Nov-09,286.60,286.71,284.72,286.21,-
18-Nov-09,288.04,289.10,285.75,288.04,-
17-Nov-09,287.15,288.46,286.57,288.46,-
16-Nov-09,287.21,288.21,286.10,287.85,-
13-Nov-09,284.36,285.97,283.02,285.74,-
12-Nov-09,284.50,286.16,282.47,283.64,-
11-Nov-09,284.95,286.46,282.65,284.99,-
10-Nov-09,281.08,284.11,280.72,283.10,-
9-Nov-09,277.45,281.01,276.84,280.97,-
6-Nov-09,273.59,275.61,272.48,275.27,-
5-Nov-09,271.47,274.61,271.06,274.05,-
4-Nov-09,270.13,272.48,267.94,269.89,-
3-Nov-09,264.74,268.48,263.89,268.38,-
2-Nov-09,268.27,269.46,263.86,266.73,-
30-Oct-09,274.72,274.81,266.85,267.79,-
29-Oct-09,271.23,275.64,270.23,275.25,-
28-Oct-09,273.66,274.72,268.86,269.88,-
27-Oct-09,275.21,277.00,271.81,273.87,-
26-Oct-09,277.60,280.54,275.17,276.83,-
23-Oct-09,277.35,278.67,275.32,276.57,-
22-Oct-09,274.72,277.22,273.73,276.77,-
21-Oct-09,274.68,279.40,274.23,275.27,-
20-Oct-09,275.54,276.20,270.08,275.58,-
19-Oct-09,276.07,276.52,274.09,275.77,-
16-Oct-09,273.39,277.10,271.99,274.65,-
15-Oct-09,266.61,268.18,263.37,264.69,-
14-Oct-09,265.96,267.52,264.74,267.39,-
13-Oct-09,261.93,263.47,260.43,262.79,-
12-Oct-09,261.45,262.62,259.40,261.76,-
9-Oct-09,258.07,260.49,256.99,257.87,-
8-Oct-09,259.53,261.36,256.41,256.83,-
7-Oct-09,249.25,259.24,248.66,258.51,-
6-Oct-09,245.60,249.44,245.60,249.12,-
5-Oct-09,243.58,245.97,241.43,244.02,-
2-Oct-09,241.63,245.62,241.06,242.05,-
1-Oct-09,246.25,247.99,243.26,243.36,-
30-Sep-09,249.75,249.82,243.38,247.68,-
29-Sep-09,249.52,249.63,246.26,249.02,-
28-Sep-09,247.17,250.50,246.40,249.02,-
25-Sep-09,246.90,249.72,245.75,245.99,-
24-Sep-09,249.98,250.45,246.25,248.14,-
23-Sep-09,250.14,253.25,248.61,248.98,-
22-Sep-09,250.21,250.74,248.66,249.28,-
21-Sep-09,243.63,249.20,242.87,248.25,-
18-Sep-09,248.14,248.24,245.37,245.48,-
17-Sep-09,245.04,248.44,243.33,245.61,-
16-Sep-09,239.66,244.44,239.00,243.90,-
15-Sep-09,237.30,239.22,236.12,238.53,-
14-Sep-09,235.02,238.16,234.79,237.32,-
11-Sep-09,234.96,236.41,233.58,235.83,-
10-Sep-09,233.09,235.23,230.77,235.23,-
9-Sep-09,229.30,232.90,229.17,231.75,-
8-Sep-09,231.91,233.26,227.69,229.08,-
4-Sep-09,228.56,231.07,227.66,230.42,-
3-Sep-09,227.68,228.90,227.27,228.53,-
2-Sep-09,227.68,228.94,226.07,226.28,-
1-Sep-09,229.61,233.18,226.98,227.65,-
31-Aug-09,229.67,230.70,228.77,230.60,-
28-Aug-09,234.40,235.95,231.46,232.14,-
27-Aug-09,234.06,234.06,230.13,232.80,-
26-Aug-09,236.14,236.26,233.12,233.77,-
25-Aug-09,234.33,236.94,234.13,235.45,-
24-Aug-09,233.44,234.81,231.98,234.13,-
21-Aug-09,232.54,232.81,231.09,232.39,-
20-Aug-09,225.77,230.86,225.39,229.97,-
19-Aug-09,219.78,222.28,219.06,221.76,-
18-Aug-09,222.33,223.63,220.94,222.42,-
17-Aug-09,225.52,225.77,221.34,222.22,-
14-Aug-09,231.16,231.36,228.22,229.77,-
13-Aug-09,230.84,232.13,229.23,230.91,-
12-Aug-09,227.48,230.64,227.23,229.06,-
11-Aug-09,226.61,228.39,225.96,226.74,-
10-Aug-09,227.34,228.98,226.67,228.08,-
7-Aug-09,227.61,229.48,227.27,228.32,-
6-Aug-09,226.92,227.21,224.04,224.95,-
5-Aug-09,227.77,228.23,223.72,225.34,-
4-Aug-09,224.46,226.77,223.99,226.64,-
3-Aug-09,224.15,226.72,223.60,225.88,-
31-Jul-09,224.77,226.12,220.99,221.30,-
30-Jul-09,221.08,225.51,221.08,222.60,-
29-Jul-09,218.40,218.68,215.73,217.90,-
28-Jul-09,220.28,221.18,217.83,219.71,-
27-Jul-09,222.80,223.15,218.59,222.18,-
24-Jul-09,217.69,225.02,217.28,223.14,-
23-Jul-09,214.13,220.38,212.54,218.45,-
22-Jul-09,213.79,214.88,211.54,213.63,-
21-Jul-09,215.25,215.73,212.65,213.74,-
20-Jul-09,214.73,216.21,212.91,214.87,-
17-Jul-09,216.28,217.52,213.14,214.91,-
16-Jul-09,218.12,222.65,216.83,221.08,-
15-Jul-09,214.62,219.12,214.03,218.87,-
14-Jul-09,211.64,213.15,210.22,212.13,-
13-Jul-09,207.88,212.05,207.38,211.94,-
10-Jul-09,204.58,208.48,204.15,206.99,-
9-Jul-09,202.86,207.02,202.70,204.99,-
8-Jul-09,199.80,202.80,198.83,201.04,-
7-Jul-09,203.92,204.39,197.79,198.12,-
6-Jul-09,203.05,205.11,200.63,204.60,-
2-Jul-09,207.50,207.50,203.20,204.04,-
1-Jul-09,211.89,212.99,208.87,209.29,-
30-Jun-09,211.79,213.39,208.90,210.58,-
29-Jun-09,212.79,213.69,210.91,211.86,-
26-Jun-09,206.63,213.90,206.35,212.45,-
25-Jun-09,203.30,207.74,203.05,207.68,-
24-Jun-09,204.17,205.91,203.08,204.44,-
23-Jun-09,203.12,204.29,201.07,202.64,-
22-Jun-09,208.27,208.54,200.74,203.47,-
19-Jun-09,208.90,210.02,207.08,209.83,-
18-Jun-09,207.63,209.14,206.29,206.82,-
17-Jun-09,207.89,209.65,205.57,207.37,-
16-Jun-09,209.45,210.33,207.50,207.79,-
15-Jun-09,210.54,210.54,206.79,208.18,-
12-Jun-09,213.22,213.64,210.39,212.21,-
11-Jun-09,215.67,216.65,213.97,214.29,-
10-Jun-09,217.90,218.73,213.12,216.08,-
9-Jun-09,219.07,220.03,215.66,217.59,-
8-Jun-09,219.53,220.24,216.84,219.17,-
5-Jun-09,222.31,223.45,219.51,221.94,-
4-Jun-09,217.43,220.40,217.03,219.92,-
3-Jun-09,212.79,216.02,211.79,215.61,-
2-Jun-09,212.91,214.77,211.49,213.99,-
1-Jun-09,209.16,214.59,209.06,213.07,-
29-May-09,205.85,208.41,205.14,208.41,-
28-May-09,204.14,205.60,202.10,204.99,-
27-May-09,202.62,205.72,202.20,202.58,-
26-May-09,195.78,202.30,194.80,201.98,-
22-May-09,198.13,199.13,195.80,196.55,-
21-May-09,197.95,201.22,196.72,198.05,-
20-May-09,200.84,202.63,197.30,198.39,-
19-May-09,197.85,200.62,196.30,199.24,-
18-May-09,197.17,198.46,192.51,198.22,-
15-May-09,195.35,196.86,194.35,194.80,-
14-May-09,194.21,195.91,192.15,193.56,-
13-May-09,196.85,198.00,193.98,194.58,-
12-May-09,204.80,205.29,197.36,199.31,-
11-May-09,201.20,205.79,200.40,203.79,-
8-May-09,201.22,204.86,197.30,203.46,-
7-May-09,201.85,202.29,196.05,198.11,-
6-May-09,203.19,203.94,200.30,201.53,-
5-May-09,199.79,202.30,198.43,201.29,-
4-May-09,198.89,201.00,197.20,200.79,-
1-May-09,197.32,198.60,195.58,196.65,-
30-Apr-09,197.68,201.67,197.20,197.79,-
29-Apr-09,192.79,197.29,192.72,195.54,-
28-Apr-09,191.68,194.33,190.58,191.66,-
27-Apr-09,191.98,194.55,191.18,192.78,-
24-Apr-09,192.83,196.39,190.06,194.55,-
23-Apr-09,193.56,194.68,190.36,192.15,-
22-Apr-09,190.68,194.80,189.32,191.74,-
21-Apr-09,187.90,191.96,187.86,190.54,-
20-Apr-09,192.88,195.13,187.76,189.46,-
17-Apr-09,192.82,199.71,192.21,195.92,-
16-Apr-09,190.56,196.25,190.32,194.18,-
15-Apr-09,183.37,190.34,181.90,189.56,-
14-Apr-09,188.28,188.31,182.62,184.27,-
13-Apr-09,185.48,189.36,184.96,188.87,-
9-Apr-09,184.57,186.99,182.94,186.06,-
8-Apr-09,181.57,182.32,177.93,180.82,-
7-Apr-09,181.12,181.69,177.48,179.15,-
6-Apr-09,183.32,184.73,180.52,183.94,-
3-Apr-09,182.07,185.67,178.82,184.71,-
2-Apr-09,181.47,184.70,179.98,181.07,-
1-Apr-09,171.72,177.44,170.13,176.87,-
31-Mar-09,174.29,176.58,172.92,173.86,-
30-Mar-09,171.10,171.73,167.86,171.17,-
27-Mar-09,174.82,175.82,172.56,173.68,-
26-Mar-09,176.39,179.40,174.08,176.47,-
25-Mar-09,175.02,175.49,167.96,171.86,-
24-Mar-09,173.08,176.74,171.83,173.41,-
23-Mar-09,166.61,174.55,166.35,174.13,-
20-Mar-09,164.98,166.33,163.01,164.91,-
19-Mar-09,165.67,167.83,163.53,164.81,-
18-Mar-09,167.24,169.83,163.86,166.38,-
17-Mar-09,159.93,167.50,159.39,167.50,-
16-Mar-09,162.83,164.70,159.14,159.69,-
13-Mar-09,162.89,163.57,159.36,162.05,-
12-Mar-09,158.61,162.34,156.67,161.60,-
11-Mar-09,154.89,159.84,152.70,158.80,-
10-Mar-09,148.98,155.09,146.98,153.93,-
9-Mar-09,149.84,153.13,144.58,145.30,-
6-Mar-09,153.46,154.94,146.98,154.13,-
5-Mar-09,158.08,159.38,151.17,152.67,-
4-Mar-09,161.42,164.34,157.53,159.30,-
3-Mar-09,164.87,166.68,161.01,162.58,-
2-Mar-09,166.50,170.18,162.84,163.42,-
27-Feb-09,166.31,171.74,165.39,168.83,-
26-Feb-09,172.81,176.07,168.41,168.42,-
25-Feb-09,170.90,175.97,169.29,170.65,-
24-Feb-09,165.34,174.64,165.28,172.55,-
23-Feb-09,173.33,174.73,164.61,164.86,-
20-Feb-09,168.86,174.29,167.33,173.05,-
19-Feb-09,178.56,179.72,170.53,171.15,-
18-Feb-09,173.45,176.51,170.09,176.38,-
17-Feb-09,173.08,173.37,169.68,171.16,-
13-Feb-09,180.91,181.31,177.44,178.66,-
12-Feb-09,176.40,181.63,175.56,181.34,-
11-Feb-09,179.30,182.32,176.32,178.84,-
10-Feb-09,187.80,188.56,178.77,179.08,-
9-Feb-09,185.45,190.31,183.47,189.20,-
6-Feb-09,178.05,186.72,177.54,185.45,-
5-Feb-09,170.28,177.51,168.33,176.68,-
4-Feb-09,169.86,177.04,169.42,171.33,-
3-Feb-09,171.11,171.33,166.75,170.05,-
2-Feb-09,166.98,172.33,165.83,170.11,-
30-Jan-09,172.17,174.23,167.83,169.10,-
29-Jan-09,172.10,172.35,169.88,171.49,-
28-Jan-09,168.82,175.99,167.99,174.16,-
27-Jan-09,163.06,166.77,161.97,165.57,-
26-Jan-09,162.26,163.84,160.12,161.77,-
23-Jan-09,154.48,165.81,151.96,162.19,-
22-Jan-09,148.87,154.52,147.43,153.10,-
21-Jan-09,144.03,151.60,144.03,151.39,-
20-Jan-09,149.42,149.60,141.23,141.23,-
16-Jan-09,152.36,153.97,147.70,149.69,-
15-Jan-09,148.64,151.64,143.25,149.35,-
14-Jan-09,154.84,156.74,148.73,150.33,-
13-Jan-09,155.73,160.14,155.04,157.00,-
12-Jan-09,158.00,159.32,154.96,156.19,-
9-Jan-09,163.59,163.59,156.54,157.38,-
8-Jan-09,158.98,162.43,158.51,162.43,-
7-Jan-09,164.00,165.29,159.22,160.84,-
6-Jan-09,166.32,170.23,163.03,166.86,-
5-Jan-09,160.34,165.45,157.34,163.86,-
2-Jan-09,154.15,160.75,152.60,160.50,-
31-Dec-08,151.95,155.34,151.15,153.67,-
30-Dec-08,150.25,153.25,149.21,151.40,-
29-Dec-08,149.96,150.54,145.64,148.56,-
26-Dec-08,151.88,152.48,149.01,150.03,-
24-Dec-08,150.59,153.02,149.04,151.32,-
23-Dec-08,150.06,151.50,148.19,148.86,-
22-Dec-08,154.13,154.60,145.17,148.41,-
19-Dec-08,155.34,158.74,154.35,154.93,-
18-Dec-08,158.19,160.01,154.40,154.98,-
17-Dec-08,159.16,160.90,156.05,157.46,-
16-Dec-08,157.10,164.59,155.48,162.48,-
15-Dec-08,156.85,159.09,152.40,155.18,-
12-Dec-08,147.71,158.08,146.85,157.72,-
11-Dec-08,151.93,156.28,148.75,149.96,-
10-Dec-08,154.47,157.29,152.10,154.26,-
9-Dec-08,148.70,158.84,148.36,152.83,-
8-Dec-08,144.85,154.57,140.86,150.90,-
