"","Date","Close","Volume","Symbol","Topic1","Topic2","Topic3"
"350","10/19/2009","26.36"," 48143163","MSFT","death worker","tablet","appstore"
"351","10/20/2009","26.37"," 54613476","MSFT","death worker","tablet","appstore"
"352","10/21/2009","26.58"," 61672603","MSFT","death worker","tablet","appstore"
"353","10/22/2009","26.59"," 61599926","MSFT","death worker","tablet","appstore"
"354","10/23/2009","28.02","281760947","MSFT","death worker","tablet","appstore"
"355","10/26/2009","28.68","124149662","MSFT","death worker","tablet","appstore"
"356","10/27/2009","28.59"," 69685783","MSFT","death worker","tablet","appstore"
"357","10/28/2009","28.02"," 73542323","MSFT","death worker","tablet","appstore"
"358","10/29/2009","28.22"," 65232886","MSFT","death worker","tablet","appstore"
"359","10/30/2009","27.73"," 73371734","MSFT","death worker","tablet","appstore"
"360","11/2/2009","27.88"," 62432606","MSFT","death worker","tablet","appstore"
"361","11/3/2009","27.53"," 50294715","MSFT","death worker","tablet","appstore"
"362","11/4/2009","28.06"," 63898306","MSFT","death worker","tablet","appstore"
"363","11/5/2009","28.47"," 52683314","MSFT","death worker","tablet","appstore"
